"Municipal and City Level Small Area Poverty Estimates; 2006, 2009 and 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province,,,Municipality/City,,,,,,,Poverty Incidence,,,,,,Coefficient of Variation*,,,,90% Confidence Interval,,,,,,
,,,,,,,,,,,,,,,,,,,,2006,,2009,,2012,,
,,,Santa Ana,,,,,,,4.7,,2.2,,1.3,,17.8,29.0,27.6,,3.3,6.0,1.1,3.2,0.7,1.8,
2nd district,,,Mandaluyong  City,,,,,,,6.1,,1.8,,1.3,,17.6,45.1,32.8,,4.3,7.9,0.5,3.2,0.6,2.0,
,,,Marikina  City,,,,,,,6.0,,2.2,,1.4,,11.9,41.1,30.5,,4.9,7.2,0.7,3.8,0.7,2.1,
,,,Pasig City,,,,,,,5.0,,2.2,,1.8,,9.5,37.3,24.6,,4.2,5.7,0.9,3.5,1.1,2.6,
,,,Quezon City,,,,,,,4.1,,2.4,,1.6,,16.0,25.3,18.5,,3.0,5.1,1.4,3.4,1.1,2.1,
,,,San Juan City,,,,,,,2.9,,1.5,,0.3,,67.0,42.5,60.7,,0.0,6.2,0.4,2.5,0.0,0.6,
3rd district,,,Caloocan City,,,,,,,5.0,,3.1,,2.8,,19.1,28.2,19.4,,3.5,6.6,1.7,4.5,1.9,3.7,
,,,Malabon City,,,,,,,6.1,,4.0,,3.8,,15.8,41.4,22.9,,4.5,7.7,1.3,6.7,2.4,5.3,
,,,Navotas City,,,,,,,6.2,,3.8,,6.0,,22.6,48.4,27.2,,3.9,8.6,0.8,6.8,3.3,8.7,
,,,Valenzuela  City,,,,,,,5.1,,3.7,,2.3,,21.1,33.4,23.1,,3.3,6.9,1.7,5.8,1.4,3.2,
4th district,,,Las Piñas  City,,,,,,,3.9,,2.8,,1.4,,25.5,37.8,32.1,,2.3,5.5,1.0,4.5,0.6,2.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Makati  City,,,,,,,2.9,,1.4,,0.5,,20.5,42.3,47.8,,1.9,3.9,0.4,2.3,0.1,0.8,
,,,Muntinlupa  City,,,,,,,4.9,,2.4,,1.9,,20.3,49.6,29.6,,3.3,6.5,0.4,4.4,1.0,2.8,
,,,Parañaque  City,,,,,,,5.5,,2.0,,1.1,,8.6,41.9,37.2,,4.7,6.2,0.4,3.6,0.4,1.8,
,,,Pasay City,,,,,,,5.3,,1.7,,1.9,,11.0,26.4,16.0,,4.3,6.2,1.0,2.5,1.4,2.4,
,,,Pateros,,,,,,,8.2,,3.0,,2.4,,27.3,64.9,43.2,,4.5,11.9,0.0,6.2,0.7,4.1,
,,,Taguig City,,,,,,,4.3,,2.7,,2.4,,19.3,41.5,23.5,,2.9,5.6,0.8,4.5,1.5,3.3,
CAR,,,,,,,,,,,,,,,,,,,,,,,,,,
Abra,,,Bangued,,,,,,,16.6,,16.8,,10.9,,26.9,12.7,26.6,,10.9,22.2,13.2,20.3,6.1,15.6,
,,,Boliney,,,,,,,76.0,,50.6,,66.0,,22.9,18.9,11.5,,60.9,91.1,34.9,66.2,53.5,78.4,
,,,Bucay,,,,,,,42.6,,36.2,,37.6,,22.1,16.1,15.3,,32.2,53.1,26.6,45.8,28.2,47.1,
,,,Bucloc,,,,,,,58.0,,77.2,,42.1,,26.4,13.0,20.7,,42.5,73.6,60.6,93.7,27.8,56.4,
,,,Daguioman,,,,,,,46.8,,32.2,,37.0,,32.4,27.3,23.5,,29.4,64.1,17.7,46.6,22.7,51.3,
,,,Danglas,,,,,,,40.2,,32.0,,32.7,,25.5,22.8,20.0,,29.4,51.0,20.0,44.0,21.9,43.4,
,,,Dolores,,,,,,,23.7,,33.5,,23.6,,28.7,15.0,20.9,,15.3,32.1,25.2,41.7,15.5,31.7,
,,,La Paz,,,,,,,37.6,,36.0,,28.1,,25.4,14.9,19.2,,26.4,48.7,27.1,44.8,19.2,37.0,
,,,Lacub,,,,,,,58.8,,67.2,,57.8,,22.5,14.2,13.4,,45.3,72.4,51.6,82.9,45.1,70.4,
,,,Lagangilang,,,,,,,30.1,,27.5,,28.5,,27.9,16.5,18.0,,20.1,40.1,20.0,34.9,20.0,36.9,
,,,Lagayan,,,,,,,35.0,,41.4,,42.2,,34.3,18.8,18.8,,21.0,48.9,28.6,54.3,29.2,55.3,
,,,Langiden,,,,,,,44.1,,46.0,,40.8,,29.8,17.6,19.3,,29.7,58.5,32.7,59.4,27.8,53.7,
,,,Licuan-Baay (Licuan),,,,,,,39.7,,46.7,,45.9,,26.5,18.0,14.2,,26.6,52.7,32.9,60.5,35.1,56.6,
,,,Luba,,,,,,,50.5,,36.2,,44.8,,26.3,18.5,15.5,,36.6,64.4,25.2,47.2,33.4,56.2,
,,,Malibcong,,,,,,,48.9,,55.6,,51.5,,20.2,15.8,12.8,,37.6,60.1,41.1,70.0,40.7,62.4,
,,,Manabo,,,,,,,33.3,,34.9,,30.8,,29.6,19.8,18.3,,22.2,44.4,23.5,46.3,21.5,40.1,
,,,Peñarrubia,,,,,,,29.6,,35.7,,31.0,,33.7,19.6,18.1,,17.0,42.2,24.2,47.2,21.7,40.2,
,,,Pidigan,,,,,,,22.7,,25.9,,23.1,,32.9,18.9,21.5,,13.3,32.1,17.8,33.9,14.9,31.2,
,,,Pilar,,,,,,,41.0,,42.8,,38.4,,23.0,14.4,14.9,,29.8,52.2,32.7,53.0,29.0,47.9,
,,,Sallapadan,,,,,,,25.5,,62.0,,43.2,,31.3,13.2,16.6,,15.7,35.3,48.6,75.4,31.4,55.0,
,,,San Isidro,,,,,,,50.8,,42.3,,42.3,,21.3,15.9,16.4,,39.2,62.3,31.3,53.4,30.9,53.8,
,,,San Juan,,,,,,,40.2,,33.7,,22.0,,23.0,19.7,21.6,,29.6,50.7,22.8,44.6,14.1,29.8,
,,,San Quintin,,,,,,,21.0,,28.7,,22.5,,41.0,23.3,26.5,,9.8,32.2,17.7,39.7,12.7,32.3,
,,,Tayum,,,,,,,23.4,,23.7,,23.4,,32.6,18.7,21.5,,14.1,32.8,16.4,31.0,15.1,31.7,
,,,Tineg,,,,,,,62.9,,43.2,,78.3,,20.4,19.9,7.9,,50.5,75.2,29.1,57.4,68.1,88.5,
,,,Tubo,,,,,,,53.3,,56.4,,51.7,,23.3,16.6,14.3,,39.7,67.0,41.0,71.7,39.5,63.8,
,,,Villaviciosa,,,,,,,49.7,,49.1,,39.2,,25.2,15.7,17.6,,36.0,63.3,36.4,61.8,27.8,50.5,
Benguet,,,Atok,,,,,,,7.6,,39.7,,16.6,,51.4,24.9,28.1,,2.6,12.5,23.4,56.0,8.9,24.3,
,,,Baguio City,,,,,,,1.2,,2.4,,0.9,,55.6,31.3,40.0,,0.4,2.1,1.2,3.7,0.3,1.4,
,,,Bakun,,,,,,,17.0,,53.7,,26.5,,38.5,17.9,22.6,,9.2,24.8,37.9,69.4,16.6,36.3,
,,,Bokod,,,,,,,5.1,,21.5,,9.2,,59.3,22.4,33.4,,1.5,8.8,13.6,29.5,4.1,14.2,
,,,Buguias,,,,,,,6.4,,42.0,,13.1,,50.0,19.2,25.5,,2.4,10.5,28.7,55.2,7.6,18.5,
,,,Itogon,,,,,,,5.8,,8.9,,4.8,,52.9,29.0,41.6,,2.0,9.6,4.7,13.2,1.5,8.0,
,,,Kabayan,,,,,,,18.0,,58.6,,15.7,,37.7,12.5,23.2,,9.7,26.3,46.6,70.7,9.7,21.7,
,,,Kapangan,,,,,,,25.9,,37.7,,17.7,,27.9,17.5,20.1,,16.7,35.0,26.8,48.5,11.8,23.5,
,,,Kibungan,,,,,,,22.3,,67.9,,26.1,,32.5,16.7,27.1,,13.1,31.6,49.3,86.5,14.5,37.7,
,,,La Trinidad,,,,,,,1.6,,5.4,,1.7,,56.5,27.3,44.2,,0.4,2.8,3.0,7.9,0.4,2.9,
,,,Mankayan,,,,,,,6.6,,16.5,,6.2,,46.6,26.2,39.2,,2.8,10.3,9.4,23.5,2.2,10.2,
,,,Sablan,,,,,,,14.1,,19.3,,9.2,,32.7,27.7,34.5,,7.9,20.3,10.5,28.1,4.0,14.4,
,,,Tuba,,,,,,,6.4,,14.2,,4.6,,40.7,22.7,38.9,,3.0,9.9,8.9,19.5,1.7,7.5,
,,,Tublay,,,,,,,11.3,,30.4,,11.7,,39.3,22.7,31.8,,5.6,16.9,19.1,41.8,5.6,17.8,
Ifugao,,,Banaue,,,,,,,29.3,,20.9,,30.8,,22.4,16.3,14.2,,21.4,37.3,15.3,26.5,23.6,38.0,
,,,Hungduan,,,,,,,43.9,,29.9,,40.6,,23.0,19.3,16.1,,32.1,55.6,20.4,39.4,29.9,51.3,
,,,Kiangan,,,,,,,20.6,,22.9,,25.3,,24.7,21.9,17.6,,14.2,26.9,14.6,31.1,18.0,32.6,
,,,Lagawe,,,,,,,27.4,,19.9,,17.6,,15.1,17.4,16.5,,22.2,32.6,14.2,25.5,12.8,22.4,
,,,Lamut,,,,,,,20.4,,18.2,,17.2,,20.0,18.3,16.9,,15.1,25.7,12.7,23.7,12.4,22.0,
,,,Mayoyao,,,,,,,38.5,,34.1,,34.3,,18.0,11.9,13.0,,30.6,46.4,27.4,40.8,27.0,41.7,
,,,Alfonso Lista (Potia),,,,,,,30.6,,37.1,,21.5,,19.1,12.2,19.1,,23.5,37.6,29.6,44.5,14.8,28.3,
,,,Aguinaldo,,,,,,,42.2,,33.2,,53.6,,19.3,18.1,13.1,,32.7,51.8,23.3,43.0,42.0,65.1,
,,,Hingyon,,,,,,,25.4,,25.2,,29.9,,26.5,22.7,19.9,,16.9,33.9,15.8,34.7,20.1,39.7,
,,,Tinoc,,,,,,,52.0,,49.6,,53.5,,21.8,15.0,13.1,,39.7,64.4,37.3,61.9,41.9,65.0,
,,,Asipulo,,,,,,,55.0,,47.5,,55.3,,22.2,19.5,14.8,,42.3,67.8,32.2,62.8,41.9,68.7,
Kalinga,,,Balbalan,,,,,,,35.4,,30.1,,33.9,,22.3,19.1,19.6,,26.0,44.9,20.6,39.5,23.0,44.8,
,,,Lubuagan,,,,,,,35.6,,24.8,,26.1,,21.7,21.2,22.6,,26.2,45.0,16.1,33.5,16.4,35.8,
,,,Pasil,,,,,,,44.8,,26.5,,41.2,,22.0,16.9,19.6,,34.1,55.5,19.2,33.9,27.9,54.5,
,,,Pinukpuk,,,,,,,33.9,,29.9,,31.9,,20.4,14.5,17.9,,25.5,42.2,22.8,37.0,22.5,41.3,
,,,Rizal (Liwan),,,,,,,28.0,,25.3,,9.1,,24.8,21.2,31.3,,19.5,36.5,16.5,34.1,4.4,13.7,
,,,Tabuk City,,,,,,,18.1,,17.3,,8.8,,22.3,16.3,21.3,,12.9,23.3,12.7,22.0,5.7,11.9,
,,,Tanudan,,,,,,,66.6,,30.7,,40.7,,21.5,20.0,17.4,,52.5,80.7,20.6,40.7,29.1,52.3,
,,,Tinglayan,,,,,,,72.0,,34.1,,26.4,,24.8,15.5,18.0,,56.4,87.7,25.4,42.7,18.6,34.2,
Mountain Province,,,Barlig,,,,,,,20.2,,27.4,,16.7,,33.7,30.4,23.6,,12.6,27.8,13.7,41.1,10.2,23.1,
,,,Bauko,,,,,,,13.4,,34.4,,21.1,,28.4,22.7,17.8,,8.7,18.0,21.6,47.2,14.9,27.3,
,,,Besao,,,,,,,19.2,,26.9,,16.3,,29.9,28.7,22.3,,12.3,26.0,14.2,39.6,10.3,22.3,
,,,Bontoc,,,,,,,15.1,,16.7,,10.9,,41.6,29.4,25.6,,6.6,23.5,8.6,24.8,6.3,15.4,
,,,Natonin,,,,,,,59.2,,37.4,,39.7,,25.4,24.5,14.8,,43.6,74.7,22.4,52.5,30.1,49.4,
,,,Paracelis,,,,,,,43.1,,46.7,,40.6,,17.5,21.4,14.8,,34.1,52.0,30.3,63.2,30.7,50.5,
,,,Sabangan,,,,,,,11.4,,26.0,,10.9,,36.3,31.1,24.9,,6.5,16.2,12.7,39.4,6.4,15.4,
,,,Sadanga,,,,,,,55.1,,39.0,,42.7,,23.2,27.8,18.4,,41.5,68.6,21.2,56.9,29.8,55.6,
,,,Sagada,,,,,,,11.2,,35.4,,10.2,,29.1,25.4,24.5,,7.1,15.3,20.6,50.2,6.1,14.3,
,,,Tadian,,,,,,,23.9,,36.2,,21.6,,23.5,20.0,17.4,,17.4,30.3,24.3,48.0,15.4,27.8,
Apayao,,,Calanasan (Bayag),,,,,,,34.6,,32.9,,62.6,,29.2,21.4,12.0,,22.2,47.0,21.3,44.4,50.2,75.0,
,,,Conner,,,,,,,35.1,,30.3,,56.3,,20.0,15.2,10.1,,26.3,43.9,22.7,37.8,46.9,65.7,
,,,Flora,,,,,,,23.0,,26.2,,35.7,,24.9,20.1,17.1,,15.7,30.4,17.6,34.9,25.7,45.8,
,,,Kabugao,,,,,,,39.2,,40.6,,63.9,,19.9,13.0,9.3,,30.0,48.4,31.9,49.2,54.1,73.7,
,,,Luna,,,,,,,16.8,,28.8,,33.4,,22.4,16.4,13.6,,11.9,21.7,21.0,36.5,25.9,40.9,
,,,Pudtol,,,,,,,26.1,,29.8,,41.1,,19.2,18.3,14.5,,19.5,32.6,20.8,38.7,31.3,50.9,
,,,Santa Marcela,,,,,,,18.2,,23.8,,32.6,,27.4,20.7,17.7,,11.9,24.6,15.7,31.9,23.1,42.2,
Region I,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilocos Norte,,,Adams,,,,,,,39.9,,29.4,,17.1,,33.3,8.5,62.3,,39.2,40.6,27.6,31.3,0.0,34.6,
,,,Bacarra,,,,,,,11.7,,13.2,,4.5,,16.4,11.7,34.2,,10.9,12.5,9.4,17.0,1.9,7.0,
,,,Badoc,,,,,,,19.6,,19.6,,17.5,,11.5,11.3,13.1,,18.8,20.3,17.2,21.9,13.7,21.3,
,,,Bangui,,,,,,,24.5,,12.6,,10.6,,12.0,13.6,19.1,,23.8,25.2,9.2,16.0,7.3,13.9,
,,,Batac City,,,,,,,11.2,,15.3,,10.9,,15.4,9.6,13.0,,10.6,11.7,12.6,17.9,8.6,13.2,
,,,Burgos,,,,,,,27.6,,16.8,,13.6,,12.7,23.5,19.4,,21.8,33.4,8.1,25.6,9.3,18.0,
,,,Carasi,,,,,,,26.4,,22.6,,16.1,,30.1,8.7,41.3,,13.3,39.5,20.4,24.8,5.1,27.0,
,,,Currimao,,,,,,,21.5,,15.2,,7.0,,11.1,13.1,26.0,,17.6,25.5,11.7,18.7,4.0,9.9,
,,,Dingras,,,,,,,19.5,,16.3,,15.6,,11.4,9.8,14.6,,15.8,23.1,11.9,20.6,11.8,19.4,
,,,Dumalneg,,,,,,,31.6,,21.6,,25.7,,37.0,26.3,53.0,,12.3,50.8,12.3,30.9,3.3,48.0,
,,,Banna,,,,,,,21.8,,17.8,,21.3,,10.7,12.2,15.4,,17.9,25.6,14.2,21.4,15.9,26.7,
,,,Laoag City,,,,,,,6.5,,9.9,,3.8,,18.8,8.2,25.1,,4.5,8.5,8.6,11.2,2.2,5.3,
,,,Marcos,,,,,,,27.8,,18.7,,23.7,,13.1,10.9,16.0,,21.8,33.8,15.4,22.0,17.5,30.0,
,,,Nueva Era,,,,,,,37.7,,24.9,,25.2,,12.5,10.7,15.2,,29.9,45.5,20.5,29.3,18.9,31.5,
,,,Pagudpud,,,,,,,29.6,,20.2,,17.8,,10.3,6.3,13.8,,24.6,34.6,18.1,22.3,13.7,21.8,
,,,Paoay,,,,,,,12.2,,14.9,,6.8,,17.6,7.9,21.8,,8.7,15.7,12.9,16.8,4.4,9.2,
,,,Pasuquin,,,,,,,22.2,,14.1,,10.4,,11.2,11.4,21.0,,18.1,26.3,11.5,16.7,6.8,14.0,
,,,Paiddig,,,,,,,20.6,,16.3,,13.6,,10.2,16.1,17.8,,17.1,24.0,12.0,20.6,9.6,17.5,
,,,Painili,,,,,,,21.9,,17.6,,23.7,,11.7,13.0,13.3,,17.6,26.1,13.9,21.4,18.5,28.8,
,,,San Nicolas,,,,,,,7.3,,12.3,,6.2,,24.0,9.2,23.3,,4.4,10.2,10.4,14.1,3.8,8.6,
,,,Sarrat,,,,,,,20.2,,14.0,,9.0,,13.0,13.5,19.5,,15.9,24.5,10.9,17.1,6.1,11.9,
,,,Solsona,,,,,,,21.6,,15.0,,13.7,,11.4,8.7,16.2,,17.6,25.7,12.8,17.1,10.1,17.4,
,,,Vintar,,,,,,,18.7,,16.8,,15.3,,11.0,12.0,15.6,,15.3,22.1,13.5,20.1,11.4,19.2,
Ilocos Sur,,,Alilem,,,,,,,37.5,,27.4,,33.4,,15.5,8.6,14.7,,28.0,47.1,23.5,31.3,25.3,41.4,
,,,Banayoyo,,,,,,,19.2,,20.9,,23.1,,16.9,12.6,15.8,,13.8,24.5,16.6,25.2,17.1,29.1,
,,,Bantay,,,,,,,13.2,,16.4,,15.7,,18.4,11.3,16.5,,9.2,17.1,13.4,19.5,11.4,19.9,
,,,Burgos,,,,,,,26.4,,26.5,,31.6,,9.9,12.2,13.3,,22.1,30.7,21.2,31.8,24.7,38.5,
,,,Cabugao,,,,,,,23.5,,20.7,,22.5,,9.2,11.4,11.0,,19.9,27.0,16.8,24.5,18.4,26.5,
,,,Candon City,,,,,,,17.5,,17.8,,14.1,,12.6,11.0,12.4,,13.9,21.1,14.5,21.0,11.2,17.0,
,,,Caoayan,,,,,,,12.5,,14.4,,15.2,,17.1,9.9,17.1,,9.0,16.0,12.0,16.7,10.9,19.5,
,,,Cervantes,,,,,,,38.2,,24.5,,33.1,,13.2,14.6,11.7,,29.9,46.5,18.6,30.3,26.8,39.4,
,,,Galimuyod,,,,,,,33.5,,20.6,,26.9,,11.0,13.8,12.3,,27.4,39.6,15.9,25.2,21.4,32.3,
,,,Gregorio del Pilar,,,,,,,29.3,,26.1,,26.6,,21.0,13.1,18.4,,19.2,39.5,20.5,31.7,18.5,34.6,
,,,Lidlida,,,,,,,21.6,,17.3,,34.4,,16.4,19.9,15.8,,15.8,27.5,11.6,22.9,25.4,43.4,
,,,Magsingkal,,,,,,,18.9,,18.1,,21.8,,14.4,13.9,12.5,,14.4,23.3,14.0,22.3,17.3,26.3,
,,,Nagbukel,,,,,,,26.0,,28.4,,30.3,,16.7,16.0,13.9,,18.9,33.2,20.9,35.9,23.4,37.2,
,,,Narvacan,,,,,,,17.2,,17.7,,11.0,,11.7,11.0,16.3,,13.9,20.6,14.5,20.9,8.0,13.9,
,,,Quirino,,,,,,,35.8,,27.2,,35.2,,16.2,15.8,14.3,,26.3,45.3,20.1,34.2,26.9,43.5,
,,,Salcedo,,,,,,,30.8,,22.7,,26.8,,12.2,12.5,13.2,,24.6,36.9,18.0,27.4,21.0,32.7,
,,,San Emilio,,,,,,,33.8,,23.7,,24.4,,14.6,19.9,18.0,,25.6,41.9,15.9,31.4,17.2,31.6,
,,,San Esteban,,,,,,,19.0,,15.7,,18.6,,19.6,18.6,17.5,,12.8,25.1,10.9,20.5,13.2,23.9,
,,,San Ildefonson,,,,,,,16.8,,15.4,,10.4,,15.9,15.4,21.6,,12.4,21.2,11.5,19.3,6.7,14.0,
,,,San Juan,,,,,,,13.9,,18.0,,17.0,,16.7,12.8,11.7,,10.1,17.7,14.2,21.8,13.7,20.2,
,,,San Vicente,,,,,,,10.7,,12.9,,14.1,,24.8,21.5,21.1,,6.3,15.1,8.4,17.5,9.2,18.9,
,,,Santa,,,,,,,20.0,,13.6,,12.6,,12.0,16.9,16.9,,16.1,24.0,9.8,17.4,9.1,16.2,
,,,Santa Catalina,,,,,,,6.3,,11.7,,16.7,,35.2,19.6,20.2,,2.6,9.9,7.9,15.5,11.1,22.3,
,,,Santa Cruz,,,,,,,33.2,,24.0,,21.2,,7.0,9.7,11.1,,29.4,37.1,20.2,27.8,17.3,25.0,
,,,Santa Lucia,,,,,,,21.8,,25.1,,21.9,,10.6,11.2,9.8,,18.0,25.6,20.5,29.8,18.4,25.4,
,,,Santa Maria,,,,,,,17.2,,16.9,,18.5,,13.0,12.7,10.2,,13.5,20.9,13.4,20.4,15.4,21.6,
,,,Santiago,,,,,,,24.0,,20.9,,24.7,,11.1,11.4,11.5,,19.6,28.3,17.0,24.8,20.0,29.3,
,,,Santo Domingo,,,,,,,17.1,,16.4,,21.1,,11.5,12.3,10.4,,13.9,20.3,13.1,19.7,17.4,24.7,
,,,Sigay,,,,,,,36.2,,27.2,,22.9,,20.7,20.1,26.7,,23.8,48.5,18.2,36.1,12.9,33.0,
,,,Sinait,,,,,,,16.7,,18.7,,20.0,,15.5,13.2,11.7,,12.5,21.0,14.6,22.7,16.2,23.8,
,,,Sugpon,,,,,,,51.7,,35.4,,42.4,,14.0,20.9,15.5,,39.8,63.6,23.2,47.6,31.6,53.2,
,,,Suyo,,,,,,,39.8,,24.4,,24.7,,13.2,18.1,18.7,,31.2,48.5,17.1,31.7,17.1,32.3,
,,,Tagudin,,,,,,,23.7,,20.6,,22.6,,8.9,9.3,9.1,,20.2,27.1,17.4,23.7,19.2,26.0,
,,,Vigan City,,,,,,,6.9,,12.4,,7.1,,23.2,12.9,22.2,,4.3,9.5,9.8,15.1,4.5,9.7,
La Union,,,Agoo,,,,,,,23.2,,21.3,,8.5,,8.8,10.3,15.4,,19.8,26.5,17.7,24.9,6.3,10.7,
,,,Aringay,,,,,,,32.9,,26.0,,11.7,,9.6,13.4,17.4,,27.7,38.0,20.3,31.7,8.4,15.1,
,,,Bacnotan,,,,,,,18.6,,21.1,,9.0,,10.3,8.4,15.3,,15.4,21.7,18.2,24.0,6.7,11.2,
,,,Bagulin,,,,,,,49.5,,35.1,,27.6,,11.2,10.2,16.2,,40.3,58.6,29.2,41.0,20.2,35.0,
,,,Balaoan,,,,,,,27.8,,26.6,,12.1,,10.6,8.2,15.8,,23.0,32.7,23.0,30.2,8.9,15.2,
,,,Bangar,,,,,,,27.3,,27.9,,14.9,,8.3,11.9,14.4,,23.5,31.0,22.4,33.4,11.4,18.5,
,,,Bauang,,,,,,,20.5,,20.3,,6.0,,9.9,10.7,20.8,,17.1,23.8,16.8,23.9,3.9,8.0,
,,,Burgos,,,,,,,40.8,,26.2,,16.7,,12.5,10.6,21.6,,32.4,49.2,21.6,30.8,10.8,22.6,
,,,Caba,,,,,,,29.6,,25.2,,8.5,,11.7,7.2,29.5,,23.9,35.3,22.2,28.2,4.4,12.7,
,,,Luna,,,,,,,23.5,,24.7,,12.1,,8.8,11.8,15.2,,20.1,26.9,19.9,29.5,9.0,15.1,
,,,Naguilian,,,,,,,27.0,,21.9,,5.1,,9.0,12.9,24.1,,23.0,31.0,17.3,26.5,3.1,7.1,
,,,Pugo,,,,,,,27.6,,27.4,,7.5,,12.2,9.4,26.0,,22.1,33.2,23.1,31.6,4.3,10.8,
,,,Rosario,,,,,,,26.0,,24.8,,8.2,,8.2,14.4,18.5,,22.5,29.5,18.9,30.6,5.7,10.7,
,,,San Fernando City,,,,,,,14.4,,15.0,,3.8,,11.7,8.9,25.7,,11.6,17.2,12.8,17.1,2.2,5.4,
,,,San Gabriel,,,,,,,39.9,,29.7,,15.0,,10.0,13.6,19.1,,33.3,46.5,23.0,36.3,10.3,19.7,
,,,San Juan,,,,,,,25.6,,22.7,,7.1,,9.1,12.3,21.4,,21.8,29.4,18.1,27.3,4.6,9.7,
,,,Santo Tomas,,,,,,,33.4,,22.7,,12.3,,9.7,6.3,15.3,,28.1,38.7,20.4,25.0,9.2,15.4,
,,,Santol,,,,,,,39.7,,32.7,,20.6,,12.8,9.8,18.4,,31.3,48.0,27.4,38.0,14.4,26.9,
,,,Sudipen,,,,,,,33.1,,25.8,,14.7,,10.4,14.0,15.3,,27.4,38.8,19.9,31.8,11.0,18.4,
,,,Tubao,,,,,,,31.4,,26.2,,17.0,,10.8,13.3,18.4,,25.8,37.0,20.5,32.0,11.9,22.1,
Pangasinan,,,Agno,,,,,,,32.1,,28.4,,11.3,,9.0,11.5,22.1,,27.3,36.9,23.0,33.7,7.2,15.4,
,,,Aguilar,,,,,,,31.1,,26.0,,15.0,,9.9,8.1,16.1,,26.0,36.1,22.5,29.4,11.0,19.0,
,,,Alaminos City,,,,,,,24.8,,19.9,,8.6,,8.8,10.1,16.6,,21.2,28.4,16.6,23.2,6.3,11.0,
,,,Alcala,,,,,,,24.4,,20.3,,13.6,,11.5,7.5,19.9,,19.7,29.0,17.8,22.8,9.2,18.1,
,,,Anda,,,,,,,31.6,,25.9,,8.9,,10.0,8.0,23.9,,26.4,36.8,22.5,29.3,5.4,12.4,
,,,Asungan,,,,,,,22.2,,20.4,,10.6,,11.5,10.0,20.0,,18.0,26.4,17.0,23.7,7.1,14.0,
,,,Balungo,,,,,,,31.7,,21.4,,12.2,,11.1,10.0,18.2,,25.9,37.5,17.9,24.9,8.6,15.9,
,,,Bani,,,,,,,29.9,,21.0,,17.6,,9.4,5.3,14.1,,25.2,34.5,19.1,22.8,13.5,21.6,
,,,Basista,,,,,,,29.9,,24.6,,11.6,,13.6,5.0,21.1,,23.2,36.6,22.6,26.6,7.6,15.6,
,,,Bautista,,,,,,,30.1,,23.4,,10.0,,11.8,9.4,23.2,,24.2,35.9,19.8,27.0,6.2,13.8,
,,,Bayambang,,,,,,,27.4,,24.2,,19.5,,7.1,7.9,10.0,,24.2,30.6,21.0,27.3,16.3,22.7,
,,,Binalonan,,,,,,,17.3,,14.8,,7.8,,11.6,9.7,21.0,,14.0,20.6,12.4,17.2,5.1,10.5,
,,,Binmaley,,,,,,,22.7,,17.5,,7.5,,8.8,9.6,16.1,,19.4,26.0,14.8,20.3,5.5,9.4,
