province,city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Nueva Vizcaya,Aritao,Councilor,"Villacorta, Warren Jardinez",Warren,Lakas-Christian Muslim Democrats,735
Abra,Licuan- Baay Licuan,Councilor,"Batalao, Ricardo Dalingay",Dayaoen,Independent,738
Abra,Malibcong,Councilor,"Paredes, Jesse Boy Wadwadan",Jess,Partido Demokratiko Sosyalista ng Pilipinas,746
Mountain Province,Sadanga,Councilor,"Morareng, Fausto Fal-litang",Kedawen,Independent,746
Lanao del Sur,Lumbatan,Councilor,"Benito, Solaiman Daro",Digal,Nationalist People's Coalition,748
Lanao del Sur,Lumbatan,Councilor,"Amir, Hadji Rohaida Diso",Rohaima,Ompia Party,749
Isabela,Divilacan,Councilor,"Factora, Erlinda Casasola",Linda,Independent,750
Nueva Vizcaya,Aritao,Councilor,"Valdez, Aldrine Montemayor",Aldrin,Nationalist People's Coalition,751
Lanao del Sur,Lumbatan,Councilor,"Ampuan, Asip Amerol",Joe,Lakas-Christian Muslim Democrats,758
Abra,Lacub,Vice-Mayor,"Barona, Lysander Dugayen",Sandy,Independent,761
Abra,Lacub,Councilor,"Molina, Angelino Alunday",Angkil,Partido Demokratiko Sosyalista ng Pilipinas,761
Abra,Tineg,Councilor,"Valencia, Nora Wayaway",Dinao,Partido Demokratiko Sosyalista ng Pilipinas,761
Isabela,Dinapigue,Councilor,"Palitayan, Jhonas Digay",Satanas,Partido ng Demokratikong Pilipino-Lakas ng Bayan,761
Mountain Province,Barlig,Councilor,"Ingson, Quimson Agapito",Kimbo,Independent,762
Mountain Province,Barlig,Councilor,"Sidchayao, Edmundo Challi-is",Edmon,Nationalist People's Coalition,764
Ilocos Sur,Sugpon,Councilor,"Sibayan, Joseph Buclid",Joseph,Independent,765
Ilocos Sur,Sugpon,Councilor,"Nabutil, Loveta Solomon",Etang,Liberal Party,765
Abra,Lacub,Councilor,"Balaoag, Conrado Daoagan",Pantoling,Independent,768
Abra,Malibcong,Councilor,"Balansi, Paul Magwilang",Paul,Partido Demokratiko Sosyalista ng Pilipinas,770
Abra,Malibcong,Councilor,"Dayag, Violeta Sales",Ipana,Partido Demokratiko Sosyalista ng Pilipinas,771
Abra,Daguioman,Vice-Mayor,"Balcanao, David Languia",David,Partido Demokratiko Sosyalista ng Pilipinas,772
Ilocos Sur,Gregorio Del Pilar Conception,Councilor,"Dadpaas, Arnold Cadangan",Batalaw or Amboy,PMP,773
Abra,Tineg,Councilor,"Batawang, Jeremias Tiwag",Herem,Partido Demokratiko Sosyalista ng Pilipinas,776
Lanao del Sur,Lumbatan,Councilor,"Bascara, Abubacar Abe Benito",Abe,Lakas-Christian Muslim Democrats,787
Isabela,Dinapigue,Councilor,"Andres, Patrick Donato",Pat,Partido ng Demokratikong Pilipino-Lakas ng Bayan,788
Ilocos Sur,Gregorio Del Pilar Conception,Councilor,"Bisoy, Hilario Intioz",Larry,Liberal Party,789
Romblon,Conception,Councilor,"Ferrancullo, Job Fabic",Job,Laban ng Demokratikong Pilipino,796
Lanao del Sur,Picong Sultan Gumander,Vice-Mayor,"Sacar, Dimalipos Pala",Jimmy,Independent,796
Isabela,Dinapigue,Councilor,"Rodil, Reynante Orpeza",Nante,Nationalist People's Coalition,797
Romblon,Conception,Councilor,"Senorin, Ramiro Mores",Miroy,Lakas-Christian Muslim Democrats,797
Abra,Licuan- Baay Licuan,Councilor,"Bumogas, Ramon Crisologo",Monching,Independent,799
Misamis Occidental,Conception,Councilor,"Aranas, Rey Dinglasa",Dodong,Lakas-Christian Muslim Democrats,804
Misamis Occidental,Don Victoriano Chiongbian Don Mariano Marcos,Councilor,"Aranas, Rey Dinglasa",Dodong,Lakas-Christian Muslim Democrats,804
Lanao del Sur,Buadiposo-Buntong,Mayor,"Kurangking, Mashid Langi-cate",Mash,Lakas-Christian Muslim Democrats,804
Romblon,Conception,Councilor,"Fabroa, Lenneth Luistro",Neneng,Lakas-Christian Muslim Democrats,808
Isabela,Maconacon,Councilor,"Aguinaldo, George Sr. Zuniga",Agi,Nationalist People's Coalition,813
Abra,Lacub,Councilor,"Viste, Luis Pe Benito",Luis,Partido Demokratiko Sosyalista ng Pilipinas,814
Mountain Province,Barlig,Councilor,"Pinos-An, Benjamin Calwitan",Ben or Jocan,Independent,816
Ilocos Sur,Lidlidda,Councilor,"Lais, Olga Jane Bagbaguen",Oj,Lakas-Christian Muslim Democrats,816
Ilocos Sur,Lidlidda,Councilor,"Salupen, Francisco Jr. Languey",Budget,Liberal Party,816
Misamis Occidental,Conception,Councilor,"Baluyos, Lucito Sr. T.",Loloy,Lakas-Christian Muslim Democrats,816
Misamis Occidental,Don Victoriano Chiongbian Don Mariano Marcos,Councilor,"Baluyos, Lucito Sr. T.",Loloy,Lakas-Christian Muslim Democrats,816
Lanao del Sur,Tubaran,Mayor,"Diamael, Khalid Polao",Pol,Nationalist People's Coalition,820
Mountain Province,Barlig,Mayor,"Fias-Ilon, Crispin Arazon",Crispin,Independent,821
Abra,Lagayan,Councilor,"Daria, Marybel Estrella",Maribel,Independent,822
Ilocos Sur,Sugpon,Councilor,"Yagyagen, Milagros Lacanaria",Miling,Liberal Party,825
Ilocos Sur,Lidlidda,Councilor,"Tamayo, Constante Cablay",Tante,Liberal Party,826
Ilocos Sur,Lidlidda,Councilor,"Miguel, Ruben Ciriaco",Ruben,Liberal Party,826
Ilocos Sur,Lidlidda,Councilor,"Collo, Rose Amante Tilan",Amante,Lakas-Christian Muslim Democrats,827
Lanao del Sur,Lumbatan,Councilor,"Macatanto, Anti Rimbang",Anti,Ompia Party,829
Abra,Licuan- Baay Licuan,Councilor,"Villamor, Moises Sales",Esis,Independent,830
Mountain Province,Sadanga,Councilor,"Limmayog, Albert Ayao-ao",Berto,Independent,831
Isabela,Maconacon,Councilor,"Sta Maria, Fidel Baloro",Fidel or Del,Nationalist People's Coalition,833
Misamis Occidental,Conception,Councilor,"Anggo, Francisco Daque",Kiking,Partido ng Demokratikong Pilipino-Lakas ng Bayan,836
Misamis Occidental,Don Victoriano Chiongbian Don Mariano Marcos,Councilor,"Anggo, Francisco Daque",Kiking,Partido ng Demokratikong Pilipino-Lakas ng Bayan,836
Isabela,Divilacan,Councilor,"Equias, Marina Gonzales",Marina,Independent,842
Isabela,Dinapigue,Councilor,"Pattaguan, Imelda Chakiton",Emie D. Chakiton,Partido ng Demokratikong Pilipino-Lakas ng Bayan,846
Abra,Lacub,Councilor,"Valera, Paulo Danao",Pedy,Independent,850
Isabela,Divilacan,Councilor,"Baggay, Abelardo Salebad",Abe,Nationalist People's Coalition,851
Quezon,Jomalis,Councilor,"Corporal, Enrequita Arcilla",Reking,Lakas-Christian Muslim Democrats,852
Abra,Lacub,Councilor,"Molina, Jodel Bersalona",Jodel,Partido Demokratiko Sosyalista ng Pilipinas,853
Lanao del Sur,Masiu,Councilor,"Dianalan, Jamalodin Dia",Riga,Independent,855
Abra,Tineg,Councilor,"Enon, Pedro Sr. Quido",Pedring,Partido Demokratiko Sosyalista ng Pilipinas,856
Lanao del Sur,Masiu,Councilor,"Marandacan, Mohammad Faiz Lao-Mua",Alexis,Lakas-Christian Muslim Democrats,856
