"Table 2.  Household Population, Number of Households and Average Household Size ",,,,
"by Region, Province, City, and Municipality: Philippines, 2015",,,,
,,,,
"Region, Province, City, and Municipality",,Household Population,Number of Households,Average Household Size 
,,,,
IFUGAO,,"202,519","43,281", 4.7 
Banaue,,"21,758","3,929", 5.5 
Hungduan,,"9,400","1,941", 4.8 
Kiangan,,"17,045","3,485", 4.9 
Lagawe (Capital),,"19,252","3,952", 4.9 
Lamut,,"25,260","5,600", 4.5 
Mayoyao,,"17,330","4,079", 4.2 
Alfonso Lista (Potia),,"32,081","7,149", 4.5 
Aguinaldo,,"19,398","4,661", 4.2 
Hingyon,,"9,223","2,045", 4.5 
Tinoc,,"16,531","3,607", 4.6 
Asipulo,,"15,241","2,833", 5.4 
,,,,
KALINGA,,"212,003","42,115", 5.0 
Balbalan,,"12,154","2,302", 5.3 
Lubuagan,,"8,733","1,731", 5.0 
Pasil,,"9,639","1,800", 5.4 
Pinukpuk,,"32,014","6,279", 5.1 
Rizal (Liwan),,"17,028","3,723", 4.6 
City of Tabuk (Capital),,"110,036","22,439", 4.9 
Tanudan,,"9,534","1,568", 6.1 
Tinglayan,,"12,865","2,273", 5.7 
,,,,
MOUNTAIN PROVINCE,,"153,978","35,038", 4.4 
Barlig,,"4,817","1,190", 4.0 
Bauko,,"30,956","6,800", 4.6 
Besao,,"7,035","1,712", 4.1 
Bontoc (Capital),,"24,313","6,462", 3.8 
Natonin,,"10,266","2,189", 4.7 
Paracelis,,"28,019","5,834", 4.8 
Sabangan,,"9,283","2,215", 4.2 
Sadanga,,"8,799","1,765", 5.0 
Sagada,,"11,127","2,644", 4.2 
Tadian,,"19,363","4,227", 4.6 
,,,,
APAYAO,,"118,653","25,560", 4.6 
Calanasan (Bayag),,"12,564","2,384", 5.3 
Conner,,"26,023","5,469", 4.8 
Flora,,"17,303","4,056", 4.3 
Kabugao (Capital),,"15,446","3,142", 4.9 
Luna,,"18,873","4,174", 4.5 
Pudtol,,"14,907","3,207", 4.6 
Santa Marcela,,"13,537","3,128", 4.3 
,,,,
REGION I (ILOCOS REGION),,"5,014,622","1,151,629", 4.4 
,,,,
ILOCOS NORTE,,"591,198","139,336", 4.2 
ADAMS,,"1,792",411, 4.4 
BACARRA,,"32,149","8,269", 3.9 
BADOC,,"31,616","7,375", 4.3 
BANGUI,,"14,660","3,568", 4.1 
CITY OF BATAC,,"54,951","12,797", 4.3 
BURGOS,,"9,729","2,403", 4.0 
CARASI,,"1,566",304, 5.2 
CURRIMAO,,"12,166","2,805", 4.3 
DINGRAS,,"38,531","8,757", 4.4 
DUMALNEG,,"2,821",574, 4.9 
BANNA (ESPIRITU),,"19,383","4,532", 4.3 
LAOAG CITY (Capital),,"110,413","25,285", 4.4 
MARCOS,,"17,774","4,563", 3.9 
NUEVA ERA,,"9,493","2,453", 3.9 
PAGUDPUD,,"23,650","5,807", 4.1 
PAOAY,,"24,844","5,822", 4.3 
PASUQUIN,,"28,935","6,698", 4.3 
PIDDIG,,"21,407","5,040", 4.2 
PINILI,,"17,293","3,932", 4.4 
SAN NICOLAS,,"36,536","8,516", 4.3 
SARRAT,,"25,183","5,749", 4.4 
SOLSONA,,"24,086","5,497", 4.4 
VINTAR,,"32,220","8,179", 3.9 
,,,,
ILOCOS SUR,,"687,511","157,043", 4.4 
ALILEM,,"6,687","1,476", 4.5 
BANAYOYO,,"7,744","1,782", 4.3 
BANTAY,,"35,501","8,229", 4.3 
BURGOS,,"12,223","2,785", 4.4 
CABUGAO,,"37,429","8,188", 4.6 
CITY OF CANDON,,"60,395","13,812", 4.4 
CAOAYAN,,"19,861","4,604", 4.3 
CERVANTES,,"17,111","3,682", 4.6 
GALIMUYOD,,"10,747","2,326", 4.6 
GREGORIO DEL PILAR (CONCEPCION),,"4,836",908, 5.3 
LIDLIDDA,,"4,642","1,004", 4.6 
MAGSINGAL,,"30,766","7,943", 3.9 
NAGBUKEL,,"5,254","1,182", 4.4 
NARVACAN,,"43,959","9,856", 4.5 
QUIRINO (ANGKAKI),,"8,542","1,830", 4.7 
SALCEDO (BAUGEN),,"11,287","2,683", 4.2 
SAN EMILIO,,"7,394","1,537", 4.8 
SAN ESTEBAN,,"8,344","2,001", 4.2 
SAN ILDEFONSO,,"7,506","1,760", 4.3 
SAN JUAN (LAPOG),,"26,403","6,477", 4.1 
SAN VICENTE,,"12,754","2,971", 4.3 
SANTA,,"15,340","3,509", 4.4 
SANTA CATALINA,,"13,939","2,844", 4.9 
SANTA CRUZ,,"39,822","8,982", 4.4 
SANTA LUCIA,,"25,402","5,930", 4.3 
SANTA MARIA,,"30,303","6,944", 4.4 
SANTIAGO,,"18,731","4,387", 4.3 
SANTO DOMINGO,,"27,967","6,777", 4.1 
SIGAY,,"2,737",515, 5.3 
SINAIT,,"25,635","6,138", 4.2 
SUGPON,,"4,585",972, 4.7 
SUYO,,"11,410","2,505", 4.6 
TAGUDIN,,"39,240","8,644", 4.5 
CITY OF VIGAN (Capital),,"53,015","11,860", 4.5 
,,,,
LA UNION,,"784,646","180,675", 4.3 
AGOO,,"63,346","13,850", 4.6 
ARINGAY,,"47,422","10,817", 4.4 
BACNOTAN,,"41,954","9,963", 4.2 
BAGULIN,,"13,420","2,978", 4.5 
BALAOAN,,"39,155","8,963", 4.4 
BANGAR,,"35,946","8,078", 4.4 
BAUANG,,"74,805","17,254", 4.3 
BURGOS,,"8,067","1,750", 4.6 
CABA,,"21,965","5,227", 4.2 
LUNA,,"35,677","8,490", 4.2 
NAGUILIAN,,"54,159","12,161", 4.5 
PUGO,,"19,636","4,811", 4.1 
ROSARIO,,"55,343","13,171", 4.2 
CITY OF SAN FERNANDO (Capital),,"121,219","28,505", 4.3 
SAN GABRIEL,,"18,166","3,907", 4.6 
SAN JUAN,,"37,082","8,714", 4.3 
SANTO TOMAS,,"39,066","8,996", 4.3 
SANTOL,,"12,468","2,789", 4.5 
SUDIPEN,,"17,021","3,810", 4.5 
TUBAO,,"28,729","6,441", 4.5 
,,,,
PANGASINAN,,"2,951,267","674,575", 4.4 
AGNO,,"28,052","6,624", 4.2 
AGUILAR,,"41,442","8,777", 4.7 
CITY OF ALAMINOS,,"89,518","21,576", 4.1 
ALCALA,,"43,396","10,174", 4.3 
ANDA,,"39,504","9,376", 4.2 
ASINGAN,,"57,349","13,623", 4.2 
BALUNGAO,,"30,860","7,606", 4.1 
BANI,,"50,292","12,337", 4.1 
BASISTA,,"32,922","6,904", 4.8 
BAUTISTA,,"32,302","6,892", 4.7 
BAYAMBANG,,"118,182","25,596", 4.6 
BINALONAN,,"54,442","12,849", 4.2 
BINMALEY,,"82,910","20,160", 4.1 
BOLINAO,,"81,953","17,681", 4.6 
BUGALLON,,"67,197","14,587", 4.6 
BURGOS,,"21,422","4,800", 4.5 
CALASIAO,,"95,071","22,542", 4.2 
DAGUPAN CITY,,"170,144","38,168", 4.5 
DASOL,,"29,110","6,785", 4.3 
INFANTA,,"24,584","5,621", 4.4 
LABRADOR,,"23,150","5,480", 4.2 
LINGAYEN (Capital),,"102,865","21,780", 4.7 
MABINI,,"24,765","5,917", 4.2 
MALASIQUI,,"130,263","29,047", 4.5 
MANAOAG,,"69,399","14,939", 4.6 
MANGALDAN,,"106,313","23,437", 4.5 
MANGATAREM,,"73,200","16,554", 4.4 
MAPANDAN,,"36,989","8,667", 4.3 
NATIVIDAD,,"24,269","5,794", 4.2 
POZORRUBIO,,"69,541","16,856", 4.1 
ROSALES,,"62,941","14,576", 4.3 
SAN CARLOS CITY,,"188,278","42,049", 4.5 
SAN FABIAN,,"82,960","19,886", 4.2 
SAN JACINTO,,"40,848","9,211", 4.4 
SAN MANUEL,,"52,888","12,552", 4.2 
SAN NICOLAS,,"35,547","8,277", 4.3 
SAN QUINTIN,,"32,927","8,584", 3.8 
SANTA BARBARA,,"81,928","18,636", 4.4 
SANTA MARIA,,"33,001","7,491", 4.4 
SANTO TOMAS,,"15,022","3,374", 4.5 
SISON,,"47,280","10,659", 4.4 
SUAL,,"34,124","7,859", 4.3 
TAYUG,,"42,967","10,039", 4.3 
UMINGAN,,"73,175","17,261", 4.2 
URBIZTONDO,,"50,150","10,618", 4.7 
CITY OF URDANETA,,"132,039","30,294", 4.4 
VILLASIS,,"62,304","14,631", 4.3 
LAOAC,,"31,482","7,429", 4.2 
,,,,
REGION II (CAGAYAN VALLEY),,"3,443,493","804,524", 4.3 
,,,,
BATANES,,"17,108","4,761", 3.6 
BASCO (Capital),,"8,489","2,327", 3.6 
ITBAYAT,,"2,843",831, 3.4 
IVANA,,"1,308",371, 3.5 
MAHATAO,,"1,554",443, 3.5 
SABTANG,,"1,620",431, 3.8 
UYUGAN,,"1,294",358, 3.6 
,,,,
CAGAYAN,,"1,195,523","271,967", 4.4 
ABULUG,,"32,456","7,405", 4.4 
ALCALA,,"38,687","9,248", 4.2 
ALLACAPAN,,"33,555","7,767", 4.3 
AMULUNG,,"47,846","10,697", 4.5 
APARRI,,"65,174","13,978", 4.7 
BAGGAO,,"82,755","19,630", 4.2 
BALLESTEROS,,"34,152","8,350", 4.1 
BUGUEY,,"30,117","6,754", 4.5 
CALAYAN,,"16,665","3,904", 4.3 
CAMALANIUGAN,,"24,895","5,482", 4.5 
CLAVERIA,,"29,895","7,258", 4.1 
ENRILE,,"35,797","7,543", 4.7 
GATTARAN,,"56,543","12,874", 4.4 
GONZAGA,,"38,883","8,603", 4.5 
IGUIG,,"27,821","6,179", 4.5 
LAL-LO,,"44,301","10,271", 4.3 
LASAM,,"39,022","9,026", 4.3 
PAMPLONA,,"23,580","5,248", 4.5 
PE„ABLANCA,,"48,381","10,739", 4.5 
PIAT,,"23,572","5,525", 4.3 
RIZAL,,"17,994","4,043", 4.5 
SANCHEZ-MIRA,,"24,366","5,625", 4.3 
SANTA ANA,,"32,462","7,821", 4.2 
SANTA PRAXEDES,,"4,141",980, 4.2 
SANTA TERESITA,,"19,038","4,283", 4.4 
SANTO NI„O (FAIRE),,"27,219","6,641", 4.1 
SOLANA,,"82,388","19,012", 4.3 
TUAO,,"61,457","13,557", 4.5 
TUGUEGARAO CITY (Capital),,"152,361","33,524", 4.5 
,,,,
ISABELA,,"1,591,017","372,950", 4.3 
ALICIA,,"71,414","17,864", 4.0 
ANGADANAN,,"43,049","9,906", 4.3 
AURORA,,"34,914","8,476", 4.1 
BENITO SOLIVEN,,"29,593","6,941", 4.3 
BURGOS,,"23,726","5,744", 4.1 
CABAGAN,,"50,153","10,162", 4.9 
CABATUAN,,"39,408","9,674", 4.1 
CITY OF CAUAYAN,,"129,046","30,623", 4.2 
CORDON,,"42,892","10,353", 4.1 
DINAPIGUE,,"4,975","1,231", 4.0 
DIVILACAN,,"5,687","1,310", 4.3 
ECHAGUE,,"78,953","18,874", 4.2 
GAMU,,"29,868","6,791", 4.4 
ILAGAN CITY (Capital) 1,,"145,250","34,669", 4.2 
JONES,,"45,549","10,650", 4.3 
LUNA,,"19,309","4,646", 4.2 
MACONACON,,"4,253",977, 4.4 
DELFIN ALBANO (MAGSAYSAY),,"26,614","6,637", 4.0 
MALLIG,,"30,459","7,591", 4.0 
NAGUILIAN,,"31,892","7,413", 4.3 
PALANAN,,"17,260","3,826", 4.5 
QUEZON,,"25,860","5,874", 4.4 
QUIRINO,,"24,498","6,333", 3.9 
RAMON,,"52,663","13,347", 3.9 
REINA MERCEDES,,"26,954","6,270", 4.3 
ROXAS,,"61,651","14,226", 4.3 
SAN AGUSTIN,,"22,860","5,626", 4.1 
SAN GUILLERMO,,"20,157","4,601", 4.4 
SAN ISIDRO,,"24,861","5,831", 4.3 
SAN MANUEL,,"31,823","7,613", 4.2 
SAN MARIANO,,"55,342","12,220", 4.5 
SAN MATEO,,"64,440","15,664", 4.1 
SAN PABLO,,"25,384","5,134", 4.9 
SANTA MARIA,,"25,382","4,860", 5.2 
CITY OF SANTIAGO,,"134,320","30,472", 4.4 
SANTO TOMAS,,"22,981","4,980", 4.6 
TUMAUINI,,"67,577","15,541", 4.3 
,,,,
NUEVA VIZCAYA,,"451,121","111,340", 4.1 
AMBAGUIO,,"15,250","3,536", 4.3 
ARITAO,,"37,216","8,562", 4.3 
BAGABAG,,"35,467","8,910", 4.0 
BAMBANG,,"53,325","13,459", 4.0 
BAYOMBONG (Capital),,"61,126","15,761", 3.9 
DIADI,,"18,111","4,441", 4.1 
DUPAX DEL NORTE,,"27,503","6,646", 4.1 
DUPAX DEL SUR,,"19,103","4,531", 4.2 
KASIBU,,"37,606","8,448", 4.5 
KAYAPA,,"23,679","5,544", 4.3 
QUEZON,,"20,967","4,991", 4.2 
SANTA FE,,"16,130","3,758", 4.3 
SOLANO,,"59,191","16,514", 3.6 
VILLAVERDE,,"18,507","4,452", 4.2 
ALFONSO CASTANEDA,,"7,940","1,787", 4.4 
,,,,
QUIRINO,,"188,724","43,506", 4.3 
AGLIPAY,,"27,774","6,577", 4.2 
CABARROGUIS (Capital),,"30,459","6,849", 4.4 
DIFFUN,,"52,471","12,283", 4.3 
MADDELA,,"38,466","8,914", 4.3 
SAGUDAY,,"16,070","3,985", 4.0 
NAGTIPUNAN,,"23,484","4,898", 4.8 
,,,,
REGION III (CENTRAL LUZON),,"11,184,068","2,566,558", 4.4 
,,,,
BATAAN,,"755,296","173,212", 4.4 
ABUCAY,,"39,818","9,453", 4.2 
BAGAC,,"26,846","6,042", 4.4 
CITY OF BALANGA (Capital),,"94,218","21,269", 4.4 
DINALUPIHAN,,"106,169","23,971", 4.4 
HERMOSA,,"65,800","14,439", 4.6 
LIMAY,,"67,826","15,345", 4.4 
MARIVELES,,"125,027","30,847", 4.1 
MORONG,,"29,883","6,847", 4.4 
ORANI,,"66,867","15,790", 4.2 
ORION,,"55,834","12,136", 4.6 
PILAR,,"41,730","9,349", 4.5 
SAMAL,,"35,278","7,724", 4.6 
,,,,
BULACAN,,"3,283,215","760,964", 4.3 
ANGAT,,"59,214","14,891", 4.0 
BALAGTAS (BIGAA),,"73,699","17,633", 4.2 
BALIUAG,,"149,671","36,480", 4.1 
BOCAUE,,"119,496","27,427", 4.4 
BULACAN,,"76,526","18,307", 4.2 
BUSTOS,,"66,626","16,046", 4.2 
CALUMPIT,,"108,725","24,991", 4.4 
GUIGUINTO,,"99,479","23,062", 4.3 
HAGONOY,,"129,721","30,208", 4.3 
CITY OF MALOLOS (Capital),,"248,330","57,541", 4.3 
MARILAO,,"221,504","52,826", 4.2 
CITY OF MEYCAUAYAN,,"208,932","52,543", 4.0 
NORZAGARAY,,"111,274","24,822", 4.5 
OBANDO,,"59,175","13,821", 4.3 
PANDI,,"88,775","20,314", 4.4 
PAOMBONG,,"53,283","11,782", 4.5 
PLARIDEL,,"107,706","24,437", 4.4 
PULILAN,,"97,262","22,557", 4.3 
SAN ILDEFONSO,,"104,286","24,257", 4.3 
CITY OF SAN JOSE DEL MONTE,,"573,429","126,553", 4.5 
SAN MIGUEL,,"153,725","34,459", 4.5 
SAN RAFAEL,,"94,527","22,560", 4.2 
SANTA MARIA,,"255,187","58,357", 4.4 
DO„A REMEDIOS TRINIDAD,,"22,663","5,090", 4.5 
,,,,
NUEVA ECIJA,,"2,147,656","496,977", 4.3 
ALIAGA,,"63,538","14,004", 4.5 
BONGABON,,"64,123","14,990", 4.3 
CABANATUAN CITY,,"300,677","68,247", 4.4 
CABIAO,,"78,966","16,685", 4.7 
CARRANGLAN,,"41,131","9,642", 4.3 
CUYAPO,,"65,028","15,659", 4.2 
GABALDON (BITULOK & SABANI),,"35,383","8,510", 4.2 
CITY OF GAPAN,,"110,258","24,906", 4.4 
GENERAL MAMERTO NATIVIDAD,,"41,650","10,030", 4.2 
GENERAL TINIO (PAPAYA),,"47,841","10,996", 4.4 
GUIMBA,,"118,499","28,707", 4.1 
JAEN,,"73,116","17,904", 4.1 
LAUR,,"35,642","8,793", 4.1 
LICAB,,"28,254","6,387", 4.4 
LLANERA,,"39,701","9,590", 4.1 
LUPAO,,"43,742","10,080", 4.3 
SCIENCE CITY OF MU„OZ,,"81,030","19,143", 4.2 
NAMPICUAN,,"14,943","3,086", 4.8 
PALAYAN CITY (Capital),,"40,966","9,447", 4.3 
PANTABANGAN,,"29,916","6,139", 4.9 
PE„ARANDA,,"29,695","6,857", 4.3 
QUEZON,,"40,592","9,482", 4.3 
RIZAL,,"63,973","15,251", 4.2 
SAN ANTONIO,,"77,775","17,543", 4.4 
SAN ISIDRO,,"51,612","11,325", 4.6 
SAN JOSE CITY,,"139,138","32,769", 4.2 
SAN LEONARDO,,"65,299","15,012", 4.3 
SANTA ROSA,,"69,387","15,785", 4.4 
SANTO DOMINGO,,"57,943","14,103", 4.1 
TALAVERA,,"124,703","28,362", 4.4 
TALUGTUG,,"23,798","5,820", 4.1 
ZARAGOZA,,"49,337","11,723", 4.2 
,,,,
PAMPANGA (excluding ANGELES CITY),,"2,193,394","479,082", 4.6 
APALIT,,"107,740","23,779", 4.5 
ARAYAT,,"133,480","28,144", 4.7 
BACOLOR,,"39,393","9,593", 4.1 
CANDABA,,"111,586","22,664", 4.9 
FLORIDABLANCA,,"125,014","28,915", 4.3 
GUAGUA,,"116,807","26,336", 4.4 
LUBAO,,"160,838","34,492", 4.7 
MABALACAT CITY 2,,"250,659","56,650", 4.4 
MACABEBE,,"75,840","16,321", 4.6 
MAGALANG,,"112,390","24,484", 4.6 
MASANTOL,,"57,061","11,946", 4.8 
MEXICO,,"154,481","32,518", 4.8 
MINALIN,,"47,713","9,931", 4.8 
PORAC,,"124,326","27,474", 4.5 
CITY OF SAN FERNANDO (Capital),,"304,211","68,272", 4.5 
SAN LUIS,,"54,106","10,945", 4.9 
SAN SIMON,,"53,194","11,420", 4.7 
SANTA ANA,,"55,178","11,115", 5.0 
SANTA RITA,,"40,926","9,064", 4.5 
SANTO TOMAS,,"40,447","9,214", 4.4 
SASMUAN (Sexmoan),,"28,004","5,805", 4.8 
,,,,
ANGELES CITY,,"408,885","96,219", 4.2 
,,,,
TARLAC,,"1,361,763","311,994", 4.4 
ANAO,,"11,438","2,720", 4.2 
BAMBAN,,"69,290","14,978", 4.6 
CAMILING,,"83,033","19,601", 4.2 
CAPAS,,"139,182","32,458", 4.3 
CONCEPCION,,"154,055","33,299", 4.6 
GERONA,,"87,282","21,302", 4.1 
LA PAZ,,"63,996","14,062", 4.6 
MAYANTOC,,"32,184","7,571", 4.3 
MONCADA,,"57,775","13,793", 4.2 
PANIQUI,,"92,414","22,412", 4.1 
PURA,,"23,640","5,602", 4.2 
RAMOS,,"21,342","4,785", 4.5 
SAN CLEMENTE,,"12,618","3,031", 4.2 
SAN MANUEL,,"25,482","5,706", 4.5 
SANTA IGNACIA,,"47,322","11,519", 4.1 
CITY OF TARLAC (Capital),,"340,988","75,546", 4.5 
VICTORIA,,"63,600","15,192", 4.2 
SAN JOSE,,"36,122","8,417", 4.3 
ZAMBALES (excluding OLONGAPO CITY),,"588,353","142,218", 4.1 
BOTOLAN,,"57,700","13,702", 4.2 
CABANGAN,,"25,160","5,989", 4.2 
CANDELARIA,,"27,151","6,061", 4.5 
CASTILLEJOS,,"64,774","17,230", 3.8 
IBA (Capital),,"50,038","11,909", 4.2 
MASINLOC,,"47,619","10,894", 4.4 
PALAUIG,,"34,789","7,861", 4.4 
SAN ANTONIO,,"34,559","8,709", 4.0 
SAN FELIPE,,"23,103","5,725", 4.0 
SAN MARCELINO,,"33,592","8,098", 4.1 
SAN NARCISO,,"28,012","7,161", 3.9 
SANTA CRUZ,,"58,042","13,865", 4.2 
SUBIC,,"103,814","25,014", 4.2 
,,,,
OLONGAPO CITY,,"231,823","56,482", 4.1 
,,,,
AURORA,,"213,683","49,410", 4.3 
BALER (Capital),,"39,148","8,842", 4.4 
CASIGURAN,,"24,297","5,721", 4.2 
DILASAG,,"15,829","3,949", 4.0 
DINALUNGAN,,"11,286","2,661", 4.2 
DINGALAN,,"25,441","5,726", 4.4 
DIPACULAO,,"29,714","7,051", 4.2 
MARIA AURORA,,"40,626","9,405", 4.3 
SAN LUIS,,"27,342","6,055", 4.5 
,,,,
REGION IV-A (CALABARZON),,"14,365,137","3,395,383", 4.2 
,,,,
BATANGAS,,"2,686,444","613,825", 4.4 
AGONCILLO,,"38,009","7,826", 4.9 
ALITAGTAG,,"25,264","5,556", 4.5 
BALAYAN,,"90,503","22,001", 4.1 
BALETE,,"22,618","4,732", 4.8 
BATANGAS CITY (Capital),,"327,643","77,990", 4.2 
BAUAN,,"90,609","20,694", 4.4 
CALACA,,"81,640","18,459", 4.4 
CALATAGAN,,"56,424","13,717", 4.1 
CUENCA,,"32,750","7,213", 4.5 
IBAAN,,"52,960","12,307", 4.3 
LAUREL,,"39,405","8,563", 4.6 
LEMERY,,"92,932","20,141", 4.6 
LIAN,,"52,610","12,956", 4.1 
LIPA CITY,,"330,325","73,607", 4.5 
LOBO,,"41,499","9,052", 4.6 
MABINI,,"46,126","9,954", 4.6 
MALVAR,,"56,270","13,761", 4.1 
MATAASNAKAHOY,,"29,162","6,901", 4.2 
NASUGBU,,"133,817","30,751", 4.4 
PADRE GARCIA,,"48,297","11,109", 4.3 
ROSARIO,,"116,647","26,906", 4.3 
SAN JOSE,,"76,971","18,458", 4.2 
SAN JUAN,,"108,379","23,911", 4.5 
SAN LUIS,,"33,126","7,368", 4.5 
SAN NICOLAS,,"22,611","4,485", 5.0 
SAN PASCUAL,,"65,339","15,212", 4.3 
SANTA TERESITA,,"21,108","4,309", 4.9 
SANTO TOMAS,,"179,551","42,629", 4.2 
TAAL,,"56,168","12,293", 4.6 
TALISAY,,"45,194","9,825", 4.6 
CITY OF TANAUAN,,"172,990","38,239", 4.5 
TAYSAN,,"37,955","8,512", 4.5 
TINGLOY,,"17,863","4,315", 4.1 
TUY,,"43,679","10,073", 4.3 
,,,,
CAVITE,,"3,662,844","877,767", 4.2 
ALFONSO,,"51,756","11,820", 4.4 
AMADEO,,"37,296","8,811", 4.2 
BACOOR CITY,,"599,326","149,160", 4.0 
CARMONA,,"97,360","24,427", 4.0 
CAVITE CITY,,"102,508","25,997", 3.9 
CITY OF DASMARI„AS,,"657,529","147,799", 4.4 
GENERAL EMILIO AGUINALDO,,"22,186","4,414", 5.0 
CITY OF GENERAL TRIAS 3,,"313,604","80,142", 3.9 
IMUS CITY,,"402,753","97,397", 4.1 
INDANG,,"65,419","15,016", 4.4 
KAWIT,,"83,416","21,018", 4.0 
MAGALLANES,,"22,703","4,777", 4.8 
MARAGONDON,,"37,684","8,339", 4.5 
MENDEZ (MENDEZ-NU„EZ),,"31,403","7,179", 4.4 
NAIC,,"110,970","26,131", 4.2 
NOVELETA,,"45,824","11,648", 3.9 
ROSARIO,,"110,561","29,316", 3.8 
SILANG,,"242,460","58,196", 4.2 
TAGAYTAY CITY,,"69,603","16,095", 4.3 
TANZA,,"225,881","54,446", 4.1 
TERNATE,,"23,157","5,673", 4.1 
TRECE MARTIRES CITY (Capital),,"154,727","35,193", 4.4 
GEN. MARIANO ALVAREZ,,"154,718","34,773", 4.4 
,,,,
LAGUNA,,"3,021,537","765,513", 3.9 
ALAMINOS,,"47,748","11,154", 4.3 
BAY,,"62,001","15,149", 4.1 
CITY OF BI„AN,,"332,170","86,752", 3.8 
CABUYAO CITY 4,,"307,998","81,573", 3.8 
CITY OF CALAMBA,,"449,908","123,071", 3.7 
CALAUAN,,"80,104","17,669", 4.5 
CAVINTI,,"21,553","5,359", 4.0 
FAMY,,"16,584","4,117", 4.0 
KALAYAAN,,"23,242","5,147", 4.5 
LILIW,,"36,558","9,309", 3.9 
LOS BA„OS,,"109,409","29,020", 3.8 
LUISIANA,,"19,715","4,847", 4.1 
LUMBAN,,"30,642","7,350", 4.2 
MABITAC,,"20,497","4,575", 4.5 
MAGDALENA,,"25,151","5,850", 4.3 
MAJAYJAY,,"27,716","6,624", 4.2 
NAGCARLAN,,"63,019","15,692", 4.0 
PAETE,,"25,096","5,602", 4.5 
PAGSANJAN,,"42,163","9,747", 4.3 
PAKIL,,"20,633","4,597", 4.5 
PANGIL,,"24,259","5,492", 4.4 
PILA,,"50,257","11,447", 4.4 
RIZAL,,"17,218","4,065", 4.2 
SAN PABLO CITY,,"264,869","62,289", 4.3 
CITY OF SAN PEDRO 5,,"325,252","73,030", 4.5 
SANTA CRUZ (Capital),,"116,185","27,982", 4.2 
SANTA MARIA,,"30,701","7,308", 4.2 
CITY OF SANTA ROSA,,"353,592","101,385", 3.5 
SINILOAN,,"38,056","8,489", 4.5 
VICTORIA,,"39,241","10,822", 3.6 
,,,,
QUEZON (excluding LUCENA CITY),,"1,851,792","425,837", 4.3 
